Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
Club Africain ,Club Africain,Stade Olympique de Radès,36.747775,10.27275
Club Atlético Banfield,Club Atlético Banfield,Estadio Florencio Sola,-34.750847,-58.387544
Club América,Club América,Estadio Azteca,19.302778,-99.150556
Club AméricaFutebol Clube (MG),Club América,Estadio Azteca,19.302778,-99.150556
Club Athletico Paranaense,Club Athletico Paranaense,Arena da Baixada,-25.448333,-49.276944
Club Atlético Belgrano,Club Atlético Belgrano,Julio Cesar Villagra,-31.4035,-64.206272
Club Atlético Huracán,Club Atlético Huracán,Estadio Tomás Adolfo Ducó,-34.643494,-58.396511
Club Atlético Lanús,Club Atlético Lanús,Estadio Ciudad de Lanús – Néstor Díaz Pérez,-34.717667,-58.383806
Club Atlético Osasuna,Club Atlético Osasuna,El Sadar Stadium,42.796667,-1.636944
Club Atlético River Plate,Club Atlético River Plate,Estadio Monumental Antonio Vespucio Liberti,-34.545278,-58.449444
Club Atlético River Plate,Club Atlético River Plate,Estadio Saroldi,-34.86213611,-56.20163889
Club Atlético San Lorenzo de Almagro,Club Atlético San Lorenzo de Almagro,El Nuevo Gasómetro,-34.652064,-58.440119
Club Atlético Tigre,Club Atlético Tigre,Estadio José Dellagiovanna,-34.449333,-58.542219
Club Nacional de Football,Club Nacional de Football,Cancha Parque Central,-34.8845,-56.159
Club Necaxa,Club Necaxa,Victoria Stadium,21.880653,-102.275483
Club Olimpo,Club Olimpia,Estadio Tigo Manuel Ferreira,-25.291389,-57.608611
Olimpia ,Club Olimpia,Estadio Tigo Manuel Ferreira,-25.291389,-57.608611
Club Tijuana,Club Tijuana,Caliente Stadium,32.506067,-116.993092
